onet	personality_trait	score
23-2091.00	Investigative	1.67
23-2091.00	Artistic	2.33
23-2091.00	Social	2.67
23-2091.00	Enterprising	3.33
23-2091.00	Conventional	6.33
23-2093.00	Realistic	4.00
23-2093.00	Investigative	2.33
23-2093.00	Artistic	1.00
23-2093.00	Social	2.00
23-2093.00	Enterprising	5.00
23-2093.00	Conventional	7.00
25-1011.00	Realistic	1.00
25-1011.00	Investigative	4.00
25-1011.00	Artistic	3.33
25-1011.00	Social	7.00
25-1011.00	Enterprising	4.33
25-1011.00	Conventional	3.67
25-1021.00	Realistic	3.00
25-1021.00	Investigative	5.67
25-1021.00	Artistic	3.33
25-1021.00	Social	6.67
25-1021.00	Enterprising	1.67
25-1021.00	Conventional	5.00
25-1022.00	Realistic	1.33
25-1022.00	Investigative	5.67
25-1022.00	Artistic	4.00
25-1022.00	Social	6.33
25-1022.00	Enterprising	1.67
25-1022.00	Conventional	4.00
25-1031.00	Realistic	3.33
25-1031.00	Investigative	3.00
25-1031.00	Artistic	5.33
25-1031.00	Social	7.00
25-1031.00	Enterprising	2.33
25-1031.00	Conventional	2.67
25-1032.00	Realistic	4.33
25-1032.00	Investigative	5.67
25-1032.00	Artistic	3.00
25-1032.00	Social	6.67
25-1032.00	Enterprising	2.67
25-1032.00	Conventional	3.00
25-1041.00	Realistic	4.67
25-1041.00	Investigative	6.00
25-1041.00	Artistic	3.33
25-1041.00	Social	6.67
25-1041.00	Enterprising	2.33
25-1041.00	Conventional	3.00
25-1042.00	Realistic	3.33
25-1042.00	Investigative	6.33
25-1042.00	Artistic	3.67
25-1042.00	Social	6.67
25-1042.00	Enterprising	2.33
25-1042.00	Conventional	2.33
25-1043.00	Realistic	4.33
25-1043.00	Investigative	6.00
25-1043.00	Artistic	3.33
25-1043.00	Social	6.33
25-1043.00	Enterprising	2.33
25-1043.00	Conventional	2.67
25-1051.00	Realistic	3.33
25-1051.00	Investigative	6.33
25-1051.00	Artistic	4.00
25-1051.00	Social	6.67
25-1051.00	Enterprising	3.00
25-1051.00	Conventional	2.00
25-1052.00	Realistic	4.67
25-1052.00	Investigative	6.33
25-1052.00	Artistic	3.67
25-1052.00	Social	6.67
25-1052.00	Enterprising	2.67
25-1052.00	Conventional	2.33
25-1053.00	Realistic	3.00
25-1053.00	Investigative	6.00
25-1053.00	Artistic	4.33
25-1053.00	Social	7.00
25-1053.00	Enterprising	2.67
25-1053.00	Conventional	1.67
25-1054.00	Realistic	3.67
25-1054.00	Investigative	6.00
25-1054.00	Artistic	3.33
25-1054.00	Social	6.33
25-1054.00	Enterprising	2.67
25-1054.00	Conventional	2.33
25-1061.00	Realistic	2.33
25-1061.00	Investigative	5.33
25-1061.00	Artistic	3.67
25-1061.00	Social	7.00
25-1061.00	Enterprising	2.67
25-1061.00	Conventional	2.67
25-1062.00	Realistic	1.67
25-1062.00	Investigative	6.00
25-1062.00	Artistic	4.33
25-1062.00	Social	6.67
25-1062.00	Enterprising	2.33
25-1062.00	Conventional	2.33
25-1063.00	Realistic	1.00
25-1063.00	Investigative	5.33
25-1063.00	Artistic	3.67
25-1063.00	Social	7.00
25-1063.00	Enterprising	3.33
25-1063.00	Conventional	3.00
25-1064.00	Realistic	2.67
25-1064.00	Investigative	6.00
25-1064.00	Artistic	4.33
25-1064.00	Social	7.00
25-1064.00	Enterprising	2.00
25-1064.00	Conventional	3.67
25-1065.00	Realistic	1.00
25-1065.00	Investigative	3.33
25-1065.00	Artistic	4.00
25-1065.00	Social	7.00
25-1065.00	Enterprising	4.67
25-1065.00	Conventional	3.00
25-1066.00	Realistic	1.33
25-1066.00	Investigative	6.33
25-1066.00	Artistic	4.33
25-1066.00	Social	6.67
25-1066.00	Enterprising	3.00
25-1066.00	Conventional	3.00
25-1067.00	Realistic	1.00
25-1067.00	Investigative	5.00
25-1067.00	Artistic	4.00
25-1067.00	Social	7.00
25-1067.00	Enterprising	2.33
25-1067.00	Conventional	2.67
25-1071.00	Realistic	1.67
25-1071.00	Investigative	6.00
25-1071.00	Artistic	3.67
25-1071.00	Social	6.67
25-1071.00	Enterprising	2.33
25-1071.00	Conventional	2.67
25-1072.00	Realistic	2.33
25-1072.00	Investigative	5.67
25-1072.00	Artistic	3.67
25-1072.00	Social	7.00
25-1072.00	Enterprising	2.33
25-1072.00	Conventional	2.00
25-1081.00	Realistic	1.33
25-1081.00	Investigative	4.00
25-1081.00	Artistic	4.33
25-1081.00	Social	7.00
25-1081.00	Enterprising	3.00
25-1081.00	Conventional	2.67
25-1082.00	Realistic	1.67
25-1082.00	Investigative	5.67
25-1082.00	Artistic	4.00
25-1082.00	Social	6.67
25-1082.00	Enterprising	2.00
25-1082.00	Conventional	4.33
25-1111.00	Realistic	2.67
25-1111.00	Investigative	5.67
25-1111.00	Artistic	3.00
25-1111.00	Social	6.67
25-1111.00	Enterprising	3.00
25-1111.00	Conventional	1.67
25-1112.00	Realistic	1.00
25-1112.00	Investigative	5.67
25-1112.00	Artistic	3.67
25-1112.00	Social	6.67
25-1112.00	Enterprising	5.00
25-1112.00	Conventional	2.67
25-1113.00	Realistic	1.33
25-1113.00	Investigative	5.67
25-1113.00	Artistic	4.00
25-1113.00	Social	7.00
25-1113.00	Enterprising	3.00
25-1113.00	Conventional	3.00
25-1121.00	Realistic	3.33
25-1121.00	Investigative	3.67
25-1121.00	Artistic	6.33
25-1121.00	Social	6.67
25-1121.00	Enterprising	2.67
25-1121.00	Conventional	2.67
25-1122.00	Realistic	1.00
25-1122.00	Investigative	4.00
25-1122.00	Artistic	4.67
25-1122.00	Social	7.00
25-1122.00	Enterprising	3.67
25-1122.00	Conventional	3.33
25-1123.00	Realistic	1.33
25-1123.00	Investigative	4.33
25-1123.00	Artistic	5.67
25-1123.00	Social	6.33
25-1123.00	Enterprising	2.00
25-1123.00	Conventional	2.67
25-1124.00	Realistic	1.33
25-1124.00	Investigative	5.33
25-1124.00	Artistic	5.33
25-1124.00	Social	7.00
25-1124.00	Enterprising	3.00
25-1124.00	Conventional	2.67
25-1125.00	Realistic	2.00
25-1125.00	Investigative	5.33
25-1125.00	Artistic	4.00
25-1125.00	Social	6.67
25-1125.00	Enterprising	2.00
25-1125.00	Conventional	3.33
25-1126.00	Realistic	1.00
25-1126.00	Investigative	4.33
25-1126.00	Artistic	5.00
25-1126.00	Social	7.00
25-1126.00	Enterprising	2.67
25-1126.00	Conventional	2.33
25-1191.00	Realistic	1.33
25-1191.00	Investigative	2.00
25-1191.00	Artistic	3.33
25-1191.00	Social	6.33
25-1191.00	Enterprising	3.00
25-1191.00	Conventional	4.00
25-1192.00	Realistic	1.67
25-1192.00	Investigative	5.00
25-1192.00	Artistic	4.33
25-1192.00	Social	6.67
25-1192.00	Enterprising	2.67
25-1192.00	Conventional	2.67
25-1193.00	Realistic	4.00
25-1193.00	Investigative	3.67
25-1193.00	Artistic	4.00
25-1193.00	Social	6.67
25-1193.00	Enterprising	2.67
25-1193.00	Conventional	2.67
25-1194.00	Realistic	5.33
25-1194.00	Investigative	2.67
25-1194.00	Artistic	2.67
25-1194.00	Social	7.00
25-1194.00	Enterprising	3.33
25-1194.00	Conventional	2.33
25-2011.00	Realistic	2.00
25-2011.00	Investigative	2.67
25-2011.00	Artistic	5.67
25-2011.00	Social	7.00
25-2011.00	Enterprising	3.33
25-2011.00	Conventional	2.00
25-2012.00	Realistic	1.67
25-2012.00	Investigative	2.33
25-2012.00	Artistic	4.67
25-2012.00	Social	7.00
25-2012.00	Enterprising	3.33
25-2012.00	Conventional	2.67
25-2021.00	Realistic	1.33
25-2021.00	Investigative	3.67
25-2021.00	Artistic	4.33
25-2021.00	Social	7.00
25-2021.00	Enterprising	2.33
25-2021.00	Conventional	4.00
25-2022.00	Realistic	2.33
25-2022.00	Investigative	3.33
25-2022.00	Artistic	5.00
25-2022.00	Social	7.00
25-2022.00	Enterprising	3.33
25-2022.00	Conventional	3.00
25-2023.00	Realistic	1.33
25-2023.00	Investigative	4.33
25-2023.00	Artistic	5.33
25-2023.00	Social	7.00
25-2023.00	Enterprising	2.67
25-2023.00	Conventional	4.33
25-2031.00	Realistic	1.67
25-2031.00	Investigative	2.67
25-2031.00	Artistic	4.67
25-2031.00	Social	7.00
25-2031.00	Enterprising	4.00
25-2031.00	Conventional	3.00
25-2032.00	Realistic	3.33
25-2032.00	Investigative	3.67
25-2032.00	Artistic	3.67
25-2032.00	Social	7.00
25-2032.00	Enterprising	3.67
25-2032.00	Conventional	2.67
25-2051.00	Realistic	1.00
25-2051.00	Investigative	2.67
25-2051.00	Artistic	4.00
25-2051.00	Social	7.00
25-2051.00	Enterprising	1.67
25-2051.00	Conventional	3.33
25-2052.00	Realistic	1.00
25-2052.00	Investigative	3.00
25-2052.00	Artistic	4.00
25-2052.00	Social	7.00
25-2052.00	Enterprising	2.00
25-2052.00	Conventional	3.33
25-2053.00	Realistic	2.33
25-2053.00	Investigative	3.33
25-2053.00	Artistic	5.00
25-2053.00	Social	7.00
25-2053.00	Enterprising	3.33
25-2053.00	Conventional	2.67
25-2054.00	Realistic	1.67
25-2054.00	Investigative	4.33
25-2054.00	Artistic	4.00
25-2054.00	Social	7.00
25-2054.00	Enterprising	3.67
25-2054.00	Conventional	3.33
25-2059.01	Realistic	4.00
25-2059.01	Investigative	2.33
25-2059.01	Artistic	2.00
25-2059.01	Social	7.00
25-2059.01	Enterprising	3.00
25-2059.01	Conventional	2.67
25-3011.00	Realistic	2.00
25-3011.00	Investigative	2.33
25-3011.00	Artistic	4.67
25-3011.00	Social	7.00
25-3011.00	Enterprising	4.00
25-3011.00	Conventional	2.67
25-3021.00	Realistic	1.67
25-3021.00	Investigative	2.67
25-3021.00	Artistic	5.33
25-3021.00	Social	7.00
25-3021.00	Enterprising	4.00
25-3021.00	Conventional	2.00
25-3099.02	Realistic	1.33
25-3099.02	Investigative	5.00
25-3099.02	Artistic	3.00
25-3099.02	Social	6.67
25-3099.02	Enterprising	1.67
25-3099.02	Conventional	3.00
25-4011.00	Realistic	3.00
25-4011.00	Investigative	5.33
25-4011.00	Artistic	1.67
25-4011.00	Social	3.33
25-4011.00	Enterprising	2.33
25-4011.00	Conventional	6.67
25-4012.00	Realistic	2.33
25-4012.00	Investigative	4.00
25-4012.00	Artistic	4.00
25-4012.00	Social	3.33
25-4012.00	Enterprising	6.33
25-4012.00	Conventional	5.67
25-4013.00	Realistic	7.00
25-4013.00	Investigative	3.67
25-4013.00	Artistic	4.00
25-4013.00	Social	1.67
25-4013.00	Enterprising	3.00
25-4013.00	Conventional	3.67
25-4021.00	Realistic	2.33
25-4021.00	Investigative	3.33
25-4021.00	Artistic	2.67
25-4021.00	Social	5.33
25-4021.00	Enterprising	4.67
25-4021.00	Conventional	7.00
25-4031.00	Realistic	2.33
25-4031.00	Investigative	1.33
25-4031.00	Artistic	1.67
25-4031.00	Social	5.00
25-4031.00	Enterprising	3.67
25-4031.00	Conventional	7.00
25-9011.00	Realistic	5.33
25-9011.00	Investigative	3.00
25-9011.00	Artistic	2.00
25-9011.00	Social	4.67
25-9011.00	Enterprising	2.00
25-9011.00	Conventional	5.33
25-9021.00	Realistic	5.33
25-9021.00	Investigative	4.33
25-9021.00	Artistic	2.33
25-9021.00	Social	7.00
25-9021.00	Enterprising	4.67
25-9021.00	Conventional	2.33
25-9031.00	Realistic	2.00
25-9031.00	Investigative	5.00
25-9031.00	Artistic	4.33
25-9031.00	Social	6.67
25-9031.00	Enterprising	4.33
25-9031.00	Conventional	3.00
25-9031.01	Realistic	3.00
25-9031.01	Investigative	4.00
25-9031.01	Artistic	4.00
25-9031.01	Social	4.33
25-9031.01	Enterprising	5.33
25-9031.01	Conventional	3.33
25-9041.00	Realistic	1.00
25-9041.00	Investigative	2.67
25-9041.00	Artistic	3.67
25-9041.00	Social	7.00
25-9041.00	Enterprising	3.00
25-9041.00	Conventional	5.33
27-1011.00	Realistic	3.00
27-1011.00	Investigative	1.33
27-1011.00	Artistic	7.00
27-1011.00	Social	2.33
27-1011.00	Enterprising	6.33
27-1011.00	Conventional	3.00
27-1012.00	Realistic	5.67
27-1012.00	Investigative	2.00
27-1012.00	Artistic	7.00
27-1012.00	Social	1.67
27-1012.00	Enterprising	5.33
27-1012.00	Conventional	1.33
27-1013.00	Realistic	5.00
27-1013.00	Investigative	2.67
27-1013.00	Artistic	7.00
27-1013.00	Social	2.00
27-1013.00	Enterprising	3.33
27-1013.00	Conventional	1.00
27-1014.00	Realistic	3.00
27-1014.00	Investigative	4.00
27-1014.00	Artistic	7.00
27-1014.00	Social	1.33
27-1014.00	Enterprising	1.67
27-1014.00	Conventional	3.00
27-1021.00	Realistic	4.00
27-1021.00	Investigative	2.00
27-1021.00	Artistic	6.67
27-1021.00	Social	2.00
27-1021.00	Enterprising	4.67
27-1021.00	Conventional	1.67
27-1022.00	Realistic	4.00
27-1022.00	Investigative	1.67
27-1022.00	Artistic	7.00
27-1022.00	Social	2.33
27-1022.00	Enterprising	6.00
27-1022.00	Conventional	1.33
27-1023.00	Realistic	4.33
27-1023.00	Investigative	1.00
27-1023.00	Artistic	6.33
27-1023.00	Social	2.33
27-1023.00	Enterprising	5.00
27-1023.00	Conventional	2.67
27-1024.00	Realistic	4.33
27-1024.00	Investigative	1.67
27-1024.00	Artistic	7.00
27-1024.00	Social	2.00
27-1024.00	Enterprising	4.33
27-1024.00	Conventional	2.33
27-1025.00	Realistic	3.00
27-1025.00	Investigative	1.67
27-1025.00	Artistic	6.67
27-1025.00	Social	3.00
27-1025.00	Enterprising	5.33
27-1025.00	Conventional	1.33
27-1026.00	Realistic	5.00
27-1026.00	Investigative	1.67
27-1026.00	Artistic	6.00
27-1026.00	Social	1.67
27-1026.00	Enterprising	5.33
27-1026.00	Conventional	2.00
27-1027.00	Realistic	5.00
27-1027.00	Investigative	3.00
27-1027.00	Artistic	7.00
27-1027.00	Social	2.00
27-1027.00	Enterprising	3.33
27-1027.00	Conventional	2.33
27-2011.00	Realistic	2.67
27-2011.00	Investigative	1.33
27-2011.00	Artistic	6.67
27-2011.00	Social	3.00
27-2011.00	Enterprising	4.67
27-2011.00	Conventional	1.67
27-2012.01	Realistic	1.33
27-2012.01	Investigative	1.00
27-2012.01	Artistic	5.67
27-2012.01	Social	3.00
27-2012.01	Enterprising	6.67
27-2012.01	Conventional	3.33
27-2012.02	Realistic	2.00
27-2012.02	Investigative	1.67
27-2012.02	Artistic	6.33
27-2012.02	Social	3.67
27-2012.02	Enterprising	6.67
27-2012.02	Conventional	3.33
27-2012.03	Realistic	1.33
27-2012.03	Investigative	1.67
27-2012.03	Artistic	4.33
27-2012.03	Social	2.67
27-2012.03	Enterprising	7.00
27-2012.03	Conventional	5.00
27-2012.04	Realistic	1.67
27-2012.04	Investigative	1.33
27-2012.04	Artistic	5.67
27-2012.04	Social	3.33
27-2012.04	Enterprising	7.00
27-2012.04	Conventional	3.67
27-2012.05	Realistic	4.00
27-2012.05	Investigative	2.00
27-2012.05	Artistic	4.00
27-2012.05	Social	1.67
27-2012.05	Enterprising	7.00
27-2012.05	Conventional	4.00
27-2021.00	Realistic	6.33
27-2021.00	Investigative	1.00
27-2021.00	Artistic	1.67
27-2021.00	Social	3.00
27-2021.00	Enterprising	4.67
27-2021.00	Conventional	2.33
27-2022.00	Realistic	5.67
27-2022.00	Investigative	1.33
27-2022.00	Artistic	2.00
27-2022.00	Social	6.00
27-2022.00	Enterprising	5.67
27-2022.00	Conventional	3.33
27-2023.00	Realistic	6.00
27-2023.00	Investigative	1.67
27-2023.00	Artistic	1.33
27-2023.00	Social	3.00
27-2023.00	Enterprising	6.00
27-2023.00	Conventional	4.33
27-2031.00	Realistic	5.33
27-2031.00	Investigative	1.67
27-2031.00	Artistic	7.00
27-2031.00	Social	3.33
27-2031.00	Enterprising	3.00
27-2031.00	Conventional	1.00
27-2032.00	Realistic	2.67
27-2032.00	Investigative	1.67
27-2032.00	Artistic	7.00
27-2032.00	Social	5.00
27-2032.00	Enterprising	4.67
27-2032.00	Conventional	1.67
27-2041.01	Realistic	2.67
27-2041.01	Investigative	2.33
27-2041.01	Artistic	7.00
27-2041.01	Social	4.67
27-2041.01	Enterprising	5.67
27-2041.01	Conventional	2.00
27-2041.04	Realistic	2.33
27-2041.04	Investigative	2.00
27-2041.04	Artistic	6.67
27-2041.04	Social	2.00
27-2041.04	Enterprising	3.67
27-2041.04	Conventional	2.67
27-2042.01	Realistic	1.67
27-2042.01	Investigative	1.00
27-2042.01	Artistic	7.00
27-2042.01	Social	2.67
27-2042.01	Enterprising	4.33
27-2042.01	Conventional	1.00
27-2042.02	Realistic	2.67
27-2042.02	Investigative	1.33
27-2042.02	Artistic	6.67
27-2042.02	Social	2.00
27-2042.02	Enterprising	4.00
27-2042.02	Conventional	1.00
27-3011.00	Realistic	1.00
27-3011.00	Investigative	2.00
27-3011.00	Artistic	5.67
27-3011.00	Social	4.67
27-3011.00	Enterprising	5.33
27-3011.00	Conventional	2.00
27-3012.00	Realistic	1.67
27-3012.00	Investigative	1.00
27-3012.00	Artistic	4.00
27-3012.00	Social	6.00
27-3012.00	Enterprising	5.67
27-3012.00	Conventional	2.00
27-3021.00	Realistic	1.33
27-3021.00	Investigative	4.00
27-3021.00	Artistic	6.33
27-3021.00	Social	5.00
27-3021.00	Enterprising	4.67
27-3021.00	Conventional	2.33
27-3022.00	Realistic	1.67
27-3022.00	Investigative	4.00
27-3022.00	Artistic	6.33
27-3022.00	Social	2.67
27-3022.00	Enterprising	4.33
27-3022.00	Conventional	3.00
27-3031.00	Realistic	1.00
27-3031.00	Investigative	2.00
27-3031.00	Artistic	5.00
27-3031.00	Social	4.67
27-3031.00	Enterprising	7.00
27-3031.00	Conventional	3.00
27-3041.00	Realistic	1.33
27-3041.00	Investigative	2.00
27-3041.00	Artistic	6.33
27-3041.00	Social	2.00
27-3041.00	Enterprising	6.00
27-3041.00	Conventional	4.00
27-3042.00	Realistic	1.33
27-3042.00	Investigative	4.33
27-3042.00	Artistic	6.33
27-3042.00	Social	1.33
27-3042.00	Enterprising	2.67
27-3042.00	Conventional	3.67
27-3043.04	Realistic	1.67
27-3043.04	Investigative	3.00
27-3043.04	Artistic	6.33
27-3043.04	Social	2.33
27-3043.04	Enterprising	6.67
27-3043.04	Conventional	3.00
27-3043.05	Realistic	1.67
27-3043.05	Investigative	5.00
27-3043.05	Artistic	7.00
27-3043.05	Social	2.33
27-3043.05	Enterprising	3.67
27-3043.05	Conventional	2.00
27-3091.00	Realistic	1.33
27-3091.00	Investigative	3.33
27-3091.00	Artistic	6.00
27-3091.00	Social	5.33
27-3091.00	Enterprising	2.00
27-3091.00	Conventional	3.67
27-4011.00	Realistic	7.00
27-4011.00	Investigative	5.00
27-4011.00	Artistic	3.33
27-4011.00	Social	1.00
27-4011.00	Enterprising	1.67
27-4011.00	Conventional	4.67
27-4012.00	Realistic	7.00
27-4012.00	Investigative	4.33
27-4012.00	Artistic	1.67
27-4012.00	Social	1.67
27-4012.00	Enterprising	2.00
27-4012.00	Conventional	5.33
27-4013.00	Realistic	6.33
27-4013.00	Investigative	2.00
27-4013.00	Artistic	1.33
27-4013.00	Social	1.00
27-4013.00	Enterprising	2.00
27-4013.00	Conventional	4.33
27-4014.00	Realistic	6.67
27-4014.00	Investigative	2.67
27-4014.00	Artistic	5.00
27-4014.00	Social	1.00
27-4014.00	Enterprising	3.33
27-4014.00	Conventional	3.67
27-4021.00	Realistic	4.67
27-4021.00	Investigative	2.00
27-4021.00	Artistic	6.00
27-4021.00	Social	2.33
27-4021.00	Enterprising	3.33
27-4021.00	Conventional	1.33
27-4031.00	Realistic	6.33
27-4031.00	Investigative	2.67
27-4031.00	Artistic	6.00
27-4031.00	Social	2.33
27-4031.00	Enterprising	2.33
27-4031.00	Conventional	3.67
27-4032.00	Realistic	2.67
27-4032.00	Investigative	3.67
27-4032.00	Artistic	6.67
27-4032.00	Social	1.67
27-4032.00	Enterprising	3.67
27-4032.00	Conventional	2.33
29-1011.00	Realistic	5.33
29-1011.00	Investigative	5.67
29-1011.00	Artistic	2.00
29-1011.00	Social	6.00
29-1011.00	Enterprising	2.67
29-1011.00	Conventional	2.00
29-1021.00	Realistic	5.33
29-1021.00	Investigative	7.00
29-1021.00	Artistic	1.67
29-1021.00	Social	4.00
29-1021.00	Enterprising	2.33
29-1021.00	Conventional	3.00
29-1022.00	Realistic	6.00
29-1022.00	Investigative	5.00
29-1022.00	Artistic	1.67
29-1022.00	Social	5.67
29-1022.00	Enterprising	3.00
29-1022.00	Conventional	2.67
29-1023.00	Realistic	5.33
29-1023.00	Investigative	7.00
29-1023.00	Artistic	1.67
29-1023.00	Social	4.67
29-1023.00	Enterprising	3.33
29-1023.00	Conventional	2.33
29-1024.00	Realistic	6.00
29-1024.00	Investigative	7.00
29-1024.00	Artistic	2.33
29-1024.00	Social	4.00
29-1024.00	Enterprising	1.33
29-1024.00	Conventional	3.00
29-1031.00	Realistic	2.33
29-1031.00	Investigative	6.67
29-1031.00	Artistic	2.33
29-1031.00	Social	6.33
29-1031.00	Enterprising	4.00
29-1031.00	Conventional	2.00
29-1041.00	Realistic	5.00
29-1041.00	Investigative	6.00
29-1041.00	Artistic	1.00
29-1041.00	Social	5.33
29-1041.00	Enterprising	3.33
29-1041.00	Conventional	2.67
29-1051.00	Realistic	3.33
29-1051.00	Investigative	7.00
29-1051.00	Artistic	1.33
29-1051.00	Social	4.33
29-1051.00	Enterprising	2.67
29-1051.00	Conventional	5.33
29-1061.00	Realistic	5.00
29-1061.00	Investigative	5.33
29-1061.00	Artistic	2.00
29-1061.00	Social	5.00
29-1061.00	Enterprising	2.67
29-1061.00	Conventional	2.67
29-1062.00	Realistic	4.00
29-1062.00	Investigative	6.67
29-1062.00	Artistic	2.00
29-1062.00	Social	6.00
29-1062.00	Enterprising	2.67
29-1062.00	Conventional	2.67
29-1063.00	Realistic	4.33
29-1063.00	Investigative	6.67
29-1063.00	Artistic	2.00
29-1063.00	Social	5.33
29-1063.00	Enterprising	3.67
29-1063.00	Conventional	2.67
29-1064.00	Realistic	5.00
29-1064.00	Investigative	7.00
29-1064.00	Artistic	2.00
29-1064.00	Social	6.00
29-1064.00	Enterprising	3.67
29-1064.00	Conventional	2.00
29-1065.00	Realistic	3.33
29-1065.00	Investigative	7.00
29-1065.00	Artistic	2.67
29-1065.00	Social	6.00
29-1065.00	Enterprising	2.33
29-1065.00	Conventional	3.00
29-1066.00	Realistic	2.00
29-1066.00	Investigative	7.00
29-1066.00	Artistic	4.33
29-1066.00	Social	5.67
29-1066.00	Enterprising	2.00
29-1066.00	Conventional	2.67
29-1067.00	Realistic	5.67
29-1067.00	Investigative	6.33
29-1067.00	Artistic	2.33
29-1067.00	Social	5.00
29-1067.00	Enterprising	3.00
29-1067.00	Conventional	2.67
29-1069.01	Realistic	4.67
29-1069.01	Investigative	7.00
29-1069.01	Artistic	3.00
29-1069.01	Social	5.67
29-1069.01	Enterprising	1.33
29-1069.01	Conventional	1.67
29-1069.02	Realistic	4.33
29-1069.02	Investigative	7.00
29-1069.02	Artistic	2.33
29-1069.02	Social	6.00
29-1069.02	Enterprising	2.00
29-1069.02	Conventional	1.67
29-1069.03	Realistic	3.67
29-1069.03	Investigative	5.00
29-1069.03	Artistic	1.67
29-1069.03	Social	6.33
29-1069.03	Enterprising	3.00
29-1069.03	Conventional	2.33
29-1069.04	Realistic	4.33
29-1069.04	Investigative	7.00
29-1069.04	Artistic	2.33
29-1069.04	Social	5.67
29-1069.04	Enterprising	3.00
29-1069.04	Conventional	2.00
29-1069.05	Realistic	3.33
29-1069.05	Investigative	5.67
29-1069.05	Artistic	1.33
29-1069.05	Social	5.67
29-1069.05	Enterprising	2.33
29-1069.05	Conventional	2.67
29-1069.06	Realistic	5.00
29-1069.06	Investigative	7.00
29-1069.06	Artistic	2.00
29-1069.06	Social	5.33
29-1069.06	Enterprising	2.33
29-1069.06	Conventional	3.00
29-1069.07	Realistic	4.33
29-1069.07	Investigative	6.67
29-1069.07	Artistic	1.67
29-1069.07	Social	3.00
29-1069.07	Enterprising	1.00
29-1069.07	Conventional	3.33
29-1069.08	Realistic	4.00
29-1069.08	Investigative	7.00
29-1069.08	Artistic	3.00
29-1069.08	Social	5.67
29-1069.08	Enterprising	1.67
29-1069.08	Conventional	2.00
29-1069.09	Realistic	4.33
29-1069.09	Investigative	6.33
29-1069.09	Artistic	2.67
29-1069.09	Social	6.67
29-1069.09	Enterprising	2.33
29-1069.09	Conventional	1.67
29-1069.10	Realistic	6.00
29-1069.10	Investigative	6.67
29-1069.10	Artistic	1.67
29-1069.10	Social	4.67
29-1069.10	Enterprising	1.00
29-1069.10	Conventional	3.00
29-1069.11	Realistic	4.67
29-1069.11	Investigative	6.67
29-1069.11	Artistic	2.33
29-1069.11	Social	6.00
29-1069.11	Enterprising	1.33
29-1069.11	Conventional	2.00
29-1069.12	Realistic	4.67
29-1069.12	Investigative	7.00
29-1069.12	Artistic	2.33
29-1069.12	Social	5.33
29-1069.12	Enterprising	2.67
29-1069.12	Conventional	2.33
29-1071.00	Realistic	4.00
29-1071.00	Investigative	6.33
29-1071.00	Artistic	2.00
29-1071.00	Social	6.33
29-1071.00	Enterprising	1.67
29-1071.00	Conventional	2.67
29-1071.01	Realistic	5.33
29-1071.01	Investigative	4.67
29-1071.01	Artistic	1.00
29-1071.01	Social	5.00
29-1071.01	Enterprising	2.67
29-1071.01	Conventional	2.67
29-1081.00	Realistic	4.33
29-1081.00	Investigative	7.00
29-1081.00	Artistic	2.00
29-1081.00	Social	6.00
29-1081.00	Enterprising	2.67
29-1081.00	Conventional	2.00
29-1122.00	Realistic	3.00
29-1122.00	Investigative	4.33
29-1122.00	Artistic	3.33
29-1122.00	Social	7.00
29-1122.00	Enterprising	3.00
29-1122.00	Conventional	3.67
29-1122.01	Realistic	4.33
29-1122.01	Investigative	4.67
29-1122.01	Artistic	3.00
29-1122.01	Social	7.00
29-1122.01	Enterprising	3.00
29-1122.01	Conventional	2.67
29-1123.00	Realistic	4.33
29-1123.00	Investigative	5.67
29-1123.00	Artistic	2.33
29-1123.00	Social	7.00
29-1123.00	Enterprising	2.67
29-1123.00	Conventional	3.00
29-1124.00	Realistic	5.33
29-1124.00	Investigative	3.67
29-1124.00	Artistic	1.00
29-1124.00	Social	5.67
29-1124.00	Enterprising	1.67
29-1124.00	Conventional	5.00
29-1125.00	Realistic	1.67
29-1125.00	Investigative	3.67
29-1125.00	Artistic	4.67
29-1125.00	Social	7.00
29-1125.00	Enterprising	3.33
29-1125.00	Conventional	2.33
29-1125.01	Realistic	1.33
29-1125.01	Investigative	4.00
29-1125.01	Artistic	6.67
29-1125.01	Social	7.00
29-1125.01	Enterprising	1.67
29-1125.01	Conventional	2.67
29-1125.02	Realistic	1.33
29-1125.02	Investigative	4.33
29-1125.02	Artistic	6.33
29-1125.02	Social	6.33
29-1125.02	Enterprising	1.67
29-1125.02	Conventional	2.00
29-1126.00	Realistic	4.33
29-1126.00	Investigative	5.00
29-1126.00	Artistic	1.33
29-1126.00	Social	6.67
29-1126.00	Enterprising	2.33
29-1126.00	Conventional	2.67
29-1127.00	Realistic	1.67
29-1127.00	Investigative	6.00
29-1127.00	Artistic	4.33
29-1127.00	Social	6.67
29-1127.00	Enterprising	2.00
29-1127.00	Conventional	2.33
29-1128.00	Realistic	4.00
29-1128.00	Investigative	5.33
29-1128.00	Artistic	3.67
29-1128.00	Social	6.33
29-1128.00	Enterprising	3.33
29-1128.00	Conventional	2.67
29-1131.00	Realistic	5.67
29-1131.00	Investigative	7.00
29-1131.00	Artistic	2.00
29-1131.00	Social	3.67
29-1131.00	Enterprising	1.67
29-1131.00	Conventional	2.67
29-1141.00	Realistic	3.67
29-1141.00	Investigative	5.67
