onet	ks	element_name	level	importance
13-1075.00	knowledge	Food Production	0.25	1.10
13-1075.00	knowledge	Computers and Electronics	3.35	2.85
13-1075.00	knowledge	Engineering and Technology	0.80	1.40
13-1075.00	knowledge	Design	0.55	1.25
13-1075.00	knowledge	Building and Construction	0.65	1.35
13-1075.00	knowledge	Mechanical	0.70	1.35
13-1075.00	knowledge	Mathematics	3.75	3.05
13-1075.00	knowledge	Physics	0.35	1.10
13-1075.00	knowledge	Chemistry	0.55	1.30
13-1075.00	knowledge	Biology	0.30	1.10
13-1075.00	knowledge	Psychology	3.45	2.90
13-1075.00	knowledge	Sociology and Anthropology	2.85	2.65
13-1075.00	knowledge	Geography	0.85	1.45
13-1075.00	knowledge	Medicine and Dentistry	0.45	1.30
13-1075.00	knowledge	Therapy and Counseling	2.90	2.20
13-1075.00	knowledge	Education and Training	4.45	3.25
13-1075.00	knowledge	English Language	4.95	4.47
13-1075.00	knowledge	Foreign Language	1.15	1.60
13-1075.00	knowledge	Fine Arts	0.55	1.30
13-1075.00	knowledge	History and Archeology	1.55	1.75
13-1075.00	knowledge	Philosophy and Theology	2.10	1.80
13-1075.00	knowledge	Public Safety and Security	2.50	2.45
13-1075.00	knowledge	Law and Government	3.95	3.95
13-1075.00	knowledge	Telecommunications	1.00	2.05
13-1075.00	knowledge	Communications and Media	3.40	3.10
13-1081.00	knowledge	Administration and Management	5.08	3.96
13-1081.00	knowledge	Clerical	4.38	2.83
13-1081.00	knowledge	Economics and Accounting	3.75	3.33
13-1081.00	knowledge	Sales and Marketing	4.58	3.29
13-1081.00	knowledge	Customer and Personal Service	5.25	3.92
13-1081.00	knowledge	Personnel and Human Resources	3.96	3.17
13-1081.00	knowledge	Transportation	4.88	4.75
13-1081.00	knowledge	Production and Processing	4.17	3.17
13-1081.00	knowledge	Food Production	1.04	1.38
13-1081.00	knowledge	Computers and Electronics	3.79	3.62
13-1081.00	knowledge	Engineering and Technology	2.75	2.38
13-1081.00	knowledge	Design	2.33	2.08
13-1081.00	knowledge	Building and Construction	1.42	1.54
13-1081.00	knowledge	Mechanical	2.00	1.96
13-1081.00	knowledge	Mathematics	4.54	3.71
13-1081.00	knowledge	Physics	1.17	1.58
13-1081.00	knowledge	Chemistry	1.62	1.61
13-1081.00	knowledge	Biology	1.17	1.38
13-1081.00	knowledge	Psychology	2.33	2.38
13-1081.00	knowledge	Sociology and Anthropology	1.92	1.88
13-1081.00	knowledge	Geography	4.00	3.33
13-1081.00	knowledge	Medicine and Dentistry	0.38	1.17
13-1081.00	knowledge	Therapy and Counseling	1.29	1.62
13-1081.00	knowledge	Education and Training	4.25	3.17
13-1081.00	knowledge	English Language	4.17	4.00
13-1081.00	knowledge	Foreign Language	2.12	1.92
13-1081.00	knowledge	Fine Arts	0.33	1.17
13-1081.00	knowledge	History and Archeology	1.17	1.42
13-1081.00	knowledge	Philosophy and Theology	1.25	1.54
13-1081.00	knowledge	Public Safety and Security	3.67	3.33
13-1081.00	knowledge	Law and Government	3.29	3.08
13-1081.00	knowledge	Telecommunications	1.92	2.25
13-1081.00	knowledge	Communications and Media	2.54	2.50
13-1081.01	knowledge	Administration and Management	4.55	3.32
13-1081.01	knowledge	Clerical	3.91	2.73
13-1081.01	knowledge	Economics and Accounting	2.55	2.45
13-1081.01	knowledge	Sales and Marketing	2.77	2.27
13-1081.01	knowledge	Customer and Personal Service	4.36	3.36
13-1081.01	knowledge	Personnel and Human Resources	2.95	2.55
13-1081.01	knowledge	Transportation	3.82	3.33
13-1081.01	knowledge	Production and Processing	3.82	3.00
13-1081.01	knowledge	Food Production	0.33	1.14
13-1081.01	knowledge	Computers and Electronics	4.59	3.68
13-1081.01	knowledge	Engineering and Technology	5.32	4.00
13-1081.01	knowledge	Design	4.36	3.45
13-1081.01	knowledge	Building and Construction	2.73	2.23
13-1081.01	knowledge	Mechanical	4.32	3.32
13-1081.01	knowledge	Mathematics	4.77	4.00
13-1081.01	knowledge	Physics	3.18	2.73
13-1081.01	knowledge	Chemistry	2.77	2.36
13-1081.01	knowledge	Biology	0.90	1.48
13-1081.01	knowledge	Psychology	2.18	2.00
13-1081.01	knowledge	Sociology and Anthropology	1.18	1.55
13-1081.01	knowledge	Geography	3.05	2.19
13-1081.01	knowledge	Medicine and Dentistry	0.68	1.36
13-1081.01	knowledge	Therapy and Counseling	0.59	1.27
13-1081.01	knowledge	Education and Training	4.73	3.23
13-1081.01	knowledge	English Language	4.64	3.91
13-1081.01	knowledge	Foreign Language	1.05	1.45
13-1081.01	knowledge	Fine Arts	0.41	1.18
13-1081.01	knowledge	History and Archeology	0.59	1.18
13-1081.01	knowledge	Philosophy and Theology	0.64	1.32
13-1081.01	knowledge	Public Safety and Security	3.68	3.14
13-1081.01	knowledge	Law and Government	3.41	2.64
13-1081.01	knowledge	Telecommunications	3.45	3.27
13-1081.01	knowledge	Communications and Media	2.73	2.55
13-1081.02	knowledge	Administration and Management	4.24	3.64
13-1081.02	knowledge	Clerical	3.60	2.76
13-1081.02	knowledge	Economics and Accounting	2.84	2.76
13-1081.02	knowledge	Sales and Marketing	2.36	2.08
13-1081.02	knowledge	Customer and Personal Service	4.32	3.40
13-1081.02	knowledge	Personnel and Human Resources	3.08	2.58
13-1081.02	knowledge	Transportation	4.04	3.60
13-1081.02	knowledge	Production and Processing	3.68	3.08
13-1081.02	knowledge	Food Production	0.84	1.44
13-1081.02	knowledge	Computers and Electronics	4.67	3.54
13-1081.02	knowledge	Engineering and Technology	3.46	2.96
13-1081.02	knowledge	Design	2.71	2.42
13-1081.02	knowledge	Building and Construction	1.46	1.71
13-1081.02	knowledge	Mechanical	2.84	2.36
13-1081.02	knowledge	Mathematics	4.62	3.58
13-1081.02	knowledge	Physics	1.84	1.88
13-1081.02	knowledge	Chemistry	1.32	1.56
13-1081.02	knowledge	Biology	0.96	1.48
13-1081.02	knowledge	Psychology	1.84	1.96
13-1081.02	knowledge	Sociology and Anthropology	1.40	1.72
13-1081.02	knowledge	Geography	3.32	2.60
13-1081.02	knowledge	Medicine and Dentistry	0.67	1.33
13-1081.02	knowledge	Therapy and Counseling	1.50	1.58
13-1081.02	knowledge	Education and Training	3.79	3.08
13-1081.02	knowledge	English Language	4.50	3.67
13-1081.02	knowledge	Foreign Language	1.44	1.64
13-1081.02	knowledge	Fine Arts	0.40	1.28
13-1081.02	knowledge	History and Archeology	1.16	1.56
13-1081.02	knowledge	Philosophy and Theology	1.28	1.40
13-1081.02	knowledge	Public Safety and Security	3.52	2.88
13-1081.02	knowledge	Law and Government	3.32	3.28
13-1081.02	knowledge	Telecommunications	2.68	2.68
13-1081.02	knowledge	Communications and Media	2.76	2.48
13-1111.00	knowledge	Administration and Management	5.23	4.42
13-1111.00	knowledge	Clerical	4.15	2.77
13-1111.00	knowledge	Economics and Accounting	3.77	3.23
13-1111.00	knowledge	Sales and Marketing	5.04	3.65
13-1111.00	knowledge	Customer and Personal Service	5.31	3.88
13-1111.00	knowledge	Personnel and Human Resources	5.12	3.73
13-1111.00	knowledge	Transportation	1.62	1.77
13-1111.00	knowledge	Production and Processing	4.27	3.08
13-1111.00	knowledge	Food Production	0.88	1.32
13-1111.00	knowledge	Computers and Electronics	3.24	2.72
13-1111.00	knowledge	Engineering and Technology	2.92	2.36
13-1111.00	knowledge	Design	2.68	2.36
13-1111.00	knowledge	Building and Construction	1.04	1.32
13-1111.00	knowledge	Mechanical	1.27	1.58
13-1111.00	knowledge	Mathematics	4.15	3.08
13-1111.00	knowledge	Physics	0.85	1.35
13-1111.00	knowledge	Chemistry	0.85	1.35
13-1111.00	knowledge	Biology	1.00	1.46
13-1111.00	knowledge	Psychology	4.38	3.75
13-1111.00	knowledge	Sociology and Anthropology	4.58	3.31
13-1111.00	knowledge	Geography	1.81	1.81
13-1111.00	knowledge	Medicine and Dentistry	0.16	1.08
13-1111.00	knowledge	Therapy and Counseling	2.56	2.28
13-1111.00	knowledge	Education and Training	5.64	3.84
13-1111.00	knowledge	English Language	5.00	4.36
13-1111.00	knowledge	Foreign Language	1.40	1.92
13-1111.00	knowledge	Fine Arts	0.68	1.20
13-1111.00	knowledge	History and Archeology	1.72	1.75
13-1111.00	knowledge	Philosophy and Theology	2.52	1.88
13-1111.00	knowledge	Public Safety and Security	2.60	2.24
13-1111.00	knowledge	Law and Government	3.46	2.92
13-1111.00	knowledge	Telecommunications	1.42	1.88
13-1111.00	knowledge	Communications and Media	4.00	3.04
13-1121.00	knowledge	Administration and Management	3.28	3.43
13-1121.00	knowledge	Clerical	4.11	3.50
13-1121.00	knowledge	Economics and Accounting	2.71	2.71
13-1121.00	knowledge	Sales and Marketing	3.43	2.90
13-1121.00	knowledge	Customer and Personal Service	5.11	4.33
13-1121.00	knowledge	Personnel and Human Resources	2.79	2.31
13-1121.00	knowledge	Transportation	2.86	2.82
13-1121.00	knowledge	Production and Processing	1.08	1.57
13-1121.00	knowledge	Food Production	1.92	2.05
13-1121.00	knowledge	Computers and Electronics	4.05	3.26
13-1121.00	knowledge	Engineering and Technology	1.44	1.92
13-1121.00	knowledge	Design	2.52	2.28
13-1121.00	knowledge	Building and Construction	1.25	1.70
13-1121.00	knowledge	Mechanical	1.28	1.60
13-1121.00	knowledge	Mathematics	3.03	2.77
13-1121.00	knowledge	Physics	1.16	1.62
13-1121.00	knowledge	Chemistry	1.22	1.64
13-1121.00	knowledge	Biology	0.85	1.48
13-1121.00	knowledge	Psychology	3.19	2.78
13-1121.00	knowledge	Sociology and Anthropology	1.93	2.06
13-1121.00	knowledge	Geography	1.93	2.00
13-1121.00	knowledge	Medicine and Dentistry	1.30	1.74
13-1121.00	knowledge	Therapy and Counseling	1.00	1.56
13-1121.00	knowledge	Education and Training	3.03	2.52
13-1121.00	knowledge	English Language	4.66	4.23
13-1121.00	knowledge	Foreign Language	1.87	1.85
13-1121.00	knowledge	Fine Arts	2.20	2.15
13-1121.00	knowledge	History and Archeology	1.85	1.77
13-1121.00	knowledge	Philosophy and Theology	2.57	2.43
13-1121.00	knowledge	Public Safety and Security	3.30	3.15
13-1121.00	knowledge	Law and Government	3.04	2.99
13-1121.00	knowledge	Telecommunications	2.18	2.81
13-1121.00	knowledge	Communications and Media	3.47	3.70
13-1131.00	knowledge	Administration and Management	4.66	4.00
13-1131.00	knowledge	Clerical	4.41	2.97
13-1131.00	knowledge	Economics and Accounting	3.66	2.91
13-1131.00	knowledge	Sales and Marketing	5.00	3.65
13-1131.00	knowledge	Customer and Personal Service	5.69	4.41
13-1131.00	knowledge	Personnel and Human Resources	3.62	2.62
13-1131.00	knowledge	Transportation	0.91	1.56
13-1131.00	knowledge	Production and Processing	0.56	1.28
13-1131.00	knowledge	Food Production	0.19	1.06
13-1131.00	knowledge	Computers and Electronics	4.06	2.97
13-1131.00	knowledge	Engineering and Technology	0.09	1.06
13-1131.00	knowledge	Design	0.78	1.28
13-1131.00	knowledge	Building and Construction	0.19	1.09
13-1131.00	knowledge	Mechanical	0.06	1.03
13-1131.00	knowledge	Mathematics	3.94	2.84
13-1131.00	knowledge	Physics	0.03	1.03
13-1131.00	knowledge	Chemistry	0.06	1.03
13-1131.00	knowledge	Biology	0.09	1.03
13-1131.00	knowledge	Psychology	2.59	2.50
13-1131.00	knowledge	Sociology and Anthropology	2.19	2.03
13-1131.00	knowledge	Geography	1.00	1.47
13-1131.00	knowledge	Medicine and Dentistry	0.19	1.19
13-1131.00	knowledge	Therapy and Counseling	0.66	1.28
13-1131.00	knowledge	Education and Training	3.59	2.59
13-1131.00	knowledge	English Language	4.59	4.22
13-1131.00	knowledge	Foreign Language	0.59	1.26
13-1131.00	knowledge	Fine Arts	0.66	1.41
13-1131.00	knowledge	History and Archeology	1.12	1.47
13-1131.00	knowledge	Philosophy and Theology	1.84	1.84
13-1131.00	knowledge	Public Safety and Security	0.81	1.45
13-1131.00	knowledge	Law and Government	2.75	2.45
13-1131.00	knowledge	Telecommunications	0.53	1.81
13-1131.00	knowledge	Communications and Media	3.25	3.31
13-1141.00	knowledge	Administration and Management	4.26	4.00
13-1141.00	knowledge	Clerical	5.17	3.26
13-1141.00	knowledge	Economics and Accounting	3.29	3.42
13-1141.00	knowledge	Sales and Marketing	2.25	2.00
13-1141.00	knowledge	Customer and Personal Service	5.08	3.79
13-1141.00	knowledge	Personnel and Human Resources	5.50	4.42
13-1141.00	knowledge	Transportation	1.08	1.58
13-1141.00	knowledge	Production and Processing	1.62	1.79
13-1141.00	knowledge	Food Production	0.92	1.46
13-1141.00	knowledge	Computers and Electronics	3.79	3.00
13-1141.00	knowledge	Engineering and Technology	1.25	1.75
13-1141.00	knowledge	Design	1.26	1.78
13-1141.00	knowledge	Building and Construction	1.17	1.70
13-1141.00	knowledge	Mechanical	1.00	1.61
13-1141.00	knowledge	Mathematics	4.61	3.91
13-1141.00	knowledge	Physics	0.83	1.50
13-1141.00	knowledge	Chemistry	0.83	1.46
13-1141.00	knowledge	Biology	0.92	1.42
13-1141.00	knowledge	Psychology	2.71	2.42
13-1141.00	knowledge	Sociology and Anthropology	2.58	2.33
13-1141.00	knowledge	Geography	1.38	1.71
13-1141.00	knowledge	Medicine and Dentistry	1.33	1.79
13-1141.00	knowledge	Therapy and Counseling	1.96	2.04
13-1141.00	knowledge	Education and Training	4.12	2.75
13-1141.00	knowledge	English Language	4.50	3.92
13-1141.00	knowledge	Foreign Language	0.88	1.50
13-1141.00	knowledge	Fine Arts	0.83	1.42
13-1141.00	knowledge	History and Archeology	1.25	1.67
13-1141.00	knowledge	Philosophy and Theology	1.88	1.88
13-1141.00	knowledge	Public Safety and Security	1.79	2.04
13-1141.00	knowledge	Law and Government	3.52	3.58
13-1141.00	knowledge	Telecommunications	1.00	1.79
13-1141.00	knowledge	Communications and Media	2.88	2.42
13-1151.00	knowledge	Administration and Management	4.00	3.67
13-1151.00	knowledge	Clerical	4.06	2.92
13-1151.00	knowledge	Economics and Accounting	1.63	1.86
13-1151.00	knowledge	Sales and Marketing	3.47	2.47
13-1151.00	knowledge	Customer and Personal Service	4.83	4.00
13-1151.00	knowledge	Personnel and Human Resources	4.42	3.64
13-1151.00	knowledge	Transportation	0.50	1.25
13-1151.00	knowledge	Production and Processing	1.17	1.64
13-1151.00	knowledge	Food Production	0.11	1.06
13-1151.00	knowledge	Computers and Electronics	3.86	2.92
13-1151.00	knowledge	Engineering and Technology	0.81	1.44
13-1151.00	knowledge	Design	1.19	1.72
13-1151.00	knowledge	Building and Construction	0.14	1.06
13-1151.00	knowledge	Mechanical	0.31	1.19
13-1151.00	knowledge	Mathematics	3.03	2.19
13-1151.00	knowledge	Physics	0.28	1.17
13-1151.00	knowledge	Chemistry	0.31	1.14
13-1151.00	knowledge	Biology	0.43	1.23
13-1151.00	knowledge	Psychology	4.11	3.46
13-1151.00	knowledge	Sociology and Anthropology	3.91	3.23
13-1151.00	knowledge	Geography	1.11	1.41
13-1151.00	knowledge	Medicine and Dentistry	0.50	1.36
13-1151.00	knowledge	Therapy and Counseling	2.72	2.20
13-1151.00	knowledge	Education and Training	6.92	4.97
13-1151.00	knowledge	English Language	5.69	4.69
13-1151.00	knowledge	Foreign Language	1.19	1.53
13-1151.00	knowledge	Fine Arts	1.00	1.50
13-1151.00	knowledge	History and Archeology	1.50	1.56
13-1151.00	knowledge	Philosophy and Theology	2.33	2.06
13-1151.00	knowledge	Public Safety and Security	1.43	1.80
13-1151.00	knowledge	Law and Government	2.11	2.09
13-1151.00	knowledge	Telecommunications	0.71	1.66
13-1151.00	knowledge	Communications and Media	3.69	3.54
13-1161.00	knowledge	Administration and Management	4.33	3.54
13-1161.00	knowledge	Clerical	4.50	2.92
13-1161.00	knowledge	Economics and Accounting	3.17	2.83
13-1161.00	knowledge	Sales and Marketing	4.92	3.50
13-1161.00	knowledge	Customer and Personal Service	4.88	3.75
13-1161.00	knowledge	Personnel and Human Resources	3.58	2.62
13-1161.00	knowledge	Transportation	1.00	1.46
13-1161.00	knowledge	Production and Processing	2.29	2.04
13-1161.00	knowledge	Food Production	0.29	1.08
13-1161.00	knowledge	Computers and Electronics	4.50	3.33
13-1161.00	knowledge	Engineering and Technology	1.50	1.71
13-1161.00	knowledge	Design	1.33	1.62
13-1161.00	knowledge	Building and Construction	0.42	1.21
13-1161.00	knowledge	Mechanical	0.54	1.21
13-1161.00	knowledge	Mathematics	4.29	3.21
13-1161.00	knowledge	Physics	0.17	1.08
13-1161.00	knowledge	Chemistry	0.33	1.08
13-1161.00	knowledge	Biology	0.46	1.12
13-1161.00	knowledge	Psychology	3.00	2.58
13-1161.00	knowledge	Sociology and Anthropology	3.12	2.46
13-1161.00	knowledge	Geography	3.17	2.21
13-1161.00	knowledge	Medicine and Dentistry	0.75	1.29
13-1161.00	knowledge	Therapy and Counseling	0.62	1.25
13-1161.00	knowledge	Education and Training	3.75	2.58
13-1161.00	knowledge	English Language	4.92	4.46
13-1161.00	knowledge	Foreign Language	1.92	1.67
13-1161.00	knowledge	Fine Arts	0.33	1.21
13-1161.00	knowledge	History and Archeology	1.79	1.67
13-1161.00	knowledge	Philosophy and Theology	1.96	1.71
13-1161.00	knowledge	Public Safety and Security	0.33	1.17
13-1161.00	knowledge	Law and Government	2.21	1.96
13-1161.00	knowledge	Telecommunications	1.25	1.92
13-1161.00	knowledge	Communications and Media	3.33	3.12
13-1199.01	knowledge	Administration and Management	3.18	2.82
13-1199.01	knowledge	Clerical	4.32	3.24
13-1199.01	knowledge	Economics and Accounting	2.73	2.68
13-1199.01	knowledge	Sales and Marketing	3.36	3.09
13-1199.01	knowledge	Customer and Personal Service	4.09	3.91
13-1199.01	knowledge	Personnel and Human Resources	2.14	2.14
13-1199.01	knowledge	Transportation	1.05	1.68
13-1199.01	knowledge	Production and Processing	2.50	2.55
13-1199.01	knowledge	Food Production	0.36	1.23
13-1199.01	knowledge	Computers and Electronics	3.77	3.23
13-1199.01	knowledge	Engineering and Technology	3.91	3.64
13-1199.01	knowledge	Design	3.64	3.23
13-1199.01	knowledge	Building and Construction	4.86	4.36
13-1199.01	knowledge	Mechanical	4.05	3.59
13-1199.01	knowledge	Mathematics	4.36	3.91
13-1199.01	knowledge	Physics	3.91	3.59
13-1199.01	knowledge	Chemistry	2.50	2.29
13-1199.01	knowledge	Biology	1.18	1.73
13-1199.01	knowledge	Psychology	1.82	2.27
13-1199.01	knowledge	Sociology and Anthropology	1.32	1.68
13-1199.01	knowledge	Geography	1.50	1.95
13-1199.01	knowledge	Medicine and Dentistry	0.32	1.27
13-1199.01	knowledge	Therapy and Counseling	0.36	1.18
13-1199.01	knowledge	Education and Training	3.64	3.18
13-1199.01	knowledge	English Language	3.55	3.41
13-1199.01	knowledge	Foreign Language	0.45	1.23
13-1199.01	knowledge	Fine Arts	0.09	1.05
13-1199.01	knowledge	History and Archeology	0.36	1.18
13-1199.01	knowledge	Philosophy and Theology	1.00	1.36
13-1199.01	knowledge	Public Safety and Security	2.77	2.55
13-1199.01	knowledge	Law and Government	2.05	2.41
13-1199.01	knowledge	Telecommunications	1.14	1.73
13-1199.01	knowledge	Communications and Media	1.23	1.82
13-1199.02	knowledge	Administration and Management	4.42	3.62
13-1199.02	knowledge	Clerical	4.04	2.88
13-1199.02	knowledge	Economics and Accounting	2.88	2.50
13-1199.02	knowledge	Sales and Marketing	3.69	2.76
13-1199.02	knowledge	Customer and Personal Service	5.19	3.96
13-1199.02	knowledge	Personnel and Human Resources	4.19	3.08
13-1199.02	knowledge	Transportation	2.35	2.12
13-1199.02	knowledge	Production and Processing	3.08	2.32
13-1199.02	knowledge	Food Production	0.64	1.20
13-1199.02	knowledge	Computers and Electronics	4.81	4.08
13-1199.02	knowledge	Engineering and Technology	4.58	3.85
13-1199.02	knowledge	Design	4.42	3.42
13-1199.02	knowledge	Building and Construction	4.27	3.31
13-1199.02	knowledge	Mechanical	3.56	2.68
13-1199.02	knowledge	Mathematics	3.81	2.88
13-1199.02	knowledge	Physics	1.92	2.00
13-1199.02	knowledge	Chemistry	1.27	1.62
13-1199.02	knowledge	Biology	1.00	1.42
13-1199.02	knowledge	Psychology	3.12	2.54
13-1199.02	knowledge	Sociology and Anthropology	2.04	1.96
13-1199.02	knowledge	Geography	3.38	2.31
13-1199.02	knowledge	Medicine and Dentistry	0.96	1.42
13-1199.02	knowledge	Therapy and Counseling	1.35	1.58
13-1199.02	knowledge	Education and Training	4.92	3.23
13-1199.02	knowledge	English Language	4.38	4.12
13-1199.02	knowledge	Foreign Language	1.40	1.60
13-1199.02	knowledge	Fine Arts	0.19	1.12
13-1199.02	knowledge	History and Archeology	1.00	1.42
13-1199.02	knowledge	Philosophy and Theology	1.19	1.50
13-1199.02	knowledge	Public Safety and Security	4.69	4.50
13-1199.02	knowledge	Law and Government	3.38	3.04
13-1199.02	knowledge	Telecommunications	3.62	3.35
13-1199.02	knowledge	Communications and Media	2.69	2.42
13-1199.03	knowledge	Administration and Management	3.90	3.40
13-1199.03	knowledge	Clerical	5.05	4.05
13-1199.03	knowledge	Economics and Accounting	3.90	3.15
13-1199.03	knowledge	Sales and Marketing	3.00	2.60
13-1199.03	knowledge	Customer and Personal Service	4.35	3.95
13-1199.03	knowledge	Personnel and Human Resources	2.89	2.50
13-1199.03	knowledge	Transportation	4.10	4.16
13-1199.03	knowledge	Production and Processing	2.10	2.20
13-1199.03	knowledge	Food Production	0.60	1.30
13-1199.03	knowledge	Computers and Electronics	4.45	3.45
13-1199.03	knowledge	Engineering and Technology	1.20	1.60
13-1199.03	knowledge	Design	0.90	1.50
13-1199.03	knowledge	Building and Construction	0.45	1.25
13-1199.03	knowledge	Mechanical	0.50	1.30
13-1199.03	knowledge	Mathematics	3.80	3.32
13-1199.03	knowledge	Physics	0.20	1.15
13-1199.03	knowledge	Chemistry	0.50	1.20
13-1199.03	knowledge	Biology	0.30	1.15
13-1199.03	knowledge	Psychology	1.75	1.85
13-1199.03	knowledge	Sociology and Anthropology	1.00	1.50
13-1199.03	knowledge	Geography	4.21	3.35
13-1199.03	knowledge	Medicine and Dentistry	0.40	1.20
13-1199.03	knowledge	Therapy and Counseling	0.40	1.25
13-1199.03	knowledge	Education and Training	3.60	2.60
13-1199.03	knowledge	English Language	4.20	4.10
13-1199.03	knowledge	Foreign Language	2.20	2.40
13-1199.03	knowledge	Fine Arts	0.35	1.25
13-1199.03	knowledge	History and Archeology	0.85	1.40
13-1199.03	knowledge	Philosophy and Theology	0.95	1.40
13-1199.03	knowledge	Public Safety and Security	2.60	2.75
13-1199.03	knowledge	Law and Government	4.25	4.00
13-1199.03	knowledge	Telecommunications	2.35	2.60
13-1199.03	knowledge	Communications and Media	2.95	2.75
13-1199.04	knowledge	Administration and Management	4.67	3.87
13-1199.04	knowledge	Clerical	3.97	2.97
13-1199.04	knowledge	Economics and Accounting	3.13	2.72
13-1199.04	knowledge	Sales and Marketing	3.10	2.70
13-1199.04	knowledge	Customer and Personal Service	4.83	3.57
13-1199.04	knowledge	Personnel and Human Resources	3.60	2.90
13-1199.04	knowledge	Transportation	2.47	2.37
13-1199.04	knowledge	Production and Processing	3.07	2.62
13-1199.04	knowledge	Food Production	0.20	1.20
13-1199.04	knowledge	Computers and Electronics	4.47	3.55
13-1199.04	knowledge	Engineering and Technology	2.93	2.63
13-1199.04	knowledge	Design	2.59	2.17
13-1199.04	knowledge	Building and Construction	1.70	1.93
13-1199.04	knowledge	Mechanical	1.33	1.73
13-1199.04	knowledge	Mathematics	3.40	2.53
13-1199.04	knowledge	Physics	0.97	1.53
13-1199.04	knowledge	Chemistry	1.20	1.57
13-1199.04	knowledge	Biology	0.57	1.32
13-1199.04	knowledge	Psychology	3.10	2.55
13-1199.04	knowledge	Sociology and Anthropology	2.45	2.17
13-1199.04	knowledge	Geography	3.21	2.45
13-1199.04	knowledge	Medicine and Dentistry	0.80	1.43
13-1199.04	knowledge	Therapy and Counseling	1.47	1.73
13-1199.04	knowledge	Education and Training	4.67	3.27
13-1199.04	knowledge	English Language	4.67	4.14
13-1199.04	knowledge	Foreign Language	1.20	1.73
13-1199.04	knowledge	Fine Arts	0.20	1.20
13-1199.04	knowledge	History and Archeology	1.20	1.67
13-1199.04	knowledge	Philosophy and Theology	1.27	1.50
13-1199.04	knowledge	Public Safety and Security	4.33	3.83
13-1199.04	knowledge	Law and Government	3.70	3.47
13-1199.04	knowledge	Telecommunications	3.13	3.23
13-1199.04	knowledge	Communications and Media	3.70	3.60
13-1199.05	knowledge	Administration and Management	4.25	3.50
13-1199.05	knowledge	Clerical	3.57	2.67
13-1199.05	knowledge	Economics and Accounting	2.39	2.29
13-1199.05	knowledge	Sales and Marketing	3.64	2.79
13-1199.05	knowledge	Customer and Personal Service	3.75	3.04
13-1199.05	knowledge	Personnel and Human Resources	1.93	1.82
13-1199.05	knowledge	Transportation	3.14	2.61
13-1199.05	knowledge	Production and Processing	1.68	1.89
13-1199.05	knowledge	Food Production	0.96	1.57
13-1199.05	knowledge	Computers and Electronics	2.74	2.41
13-1199.05	knowledge	Engineering and Technology	4.07	3.22
13-1199.05	knowledge	Design	4.22	3.41
13-1199.05	knowledge	Building and Construction	4.04	4.04
13-1199.05	knowledge	Mechanical	2.36	2.54
13-1199.05	knowledge	Mathematics	4.11	3.07
13-1199.05	knowledge	Physics	2.68	2.29
13-1199.05	knowledge	Chemistry	2.75	2.21
13-1199.05	knowledge	Biology	2.89	2.36
13-1199.05	knowledge	Psychology	2.93	2.46
13-1199.05	knowledge	Sociology and Anthropology	3.21	2.46
13-1199.05	knowledge	Geography	3.79	2.71
13-1199.05	knowledge	Medicine and Dentistry	0.71	1.29
13-1199.05	knowledge	Therapy and Counseling	0.54	1.21
13-1199.05	knowledge	Education and Training	5.04	3.19
13-1199.05	knowledge	English Language	4.22	3.75
13-1199.05	knowledge	Foreign Language	0.74	1.37
13-1199.05	knowledge	Fine Arts	0.67	1.33
13-1199.05	knowledge	History and Archeology	1.56	1.62
13-1199.05	knowledge	Philosophy and Theology	1.89	1.67
13-1199.05	knowledge	Public Safety and Security	2.63	2.44
13-1199.05	knowledge	Law and Government	3.21	2.86
13-1199.05	knowledge	Telecommunications	1.14	1.82
13-1199.05	knowledge	Communications and Media	2.75	2.64
13-1199.06	knowledge	Administration and Management	4.08	3.59
13-1199.06	knowledge	Clerical	4.86	3.35
13-1199.06	knowledge	Economics and Accounting	3.70	3.16
13-1199.06	knowledge	Sales and Marketing	5.21	4.00
13-1199.06	knowledge	Customer and Personal Service	4.80	3.92
13-1199.06	knowledge	Personnel and Human Resources	3.10	2.81
13-1199.06	knowledge	Transportation	1.23	1.78
13-1199.06	knowledge	Production and Processing	3.31	3.09
13-1199.06	knowledge	Food Production	0.00	1.00
13-1199.06	knowledge	Computers and Electronics	4.17	3.57
13-1199.06	knowledge	Engineering and Technology	1.90	2.14
13-1199.06	knowledge	Design	2.76	2.64
13-1199.06	knowledge	Building and Construction	1.45	1.76
13-1199.06	knowledge	Mechanical	1.96	1.99
13-1199.06	knowledge	Mathematics	3.78	3.18
13-1199.06	knowledge	Physics	1.04	1.74
13-1199.06	knowledge	Chemistry	0.46	1.19
13-1199.06	knowledge	Biology	0.16	1.11
13-1199.06	knowledge	Psychology	1.54	1.91
13-1199.06	knowledge	Sociology and Anthropology	1.06	1.50
13-1199.06	knowledge	Geography	1.71	1.72
13-1199.06	knowledge	Medicine and Dentistry	0.22	1.08
13-1199.06	knowledge	Therapy and Counseling	0.48	1.19
13-1199.06	knowledge	Education and Training	3.02	2.33
13-1199.06	knowledge	English Language	5.08	4.19
13-1199.06	knowledge	Foreign Language	0.76	1.74
13-1199.06	knowledge	Fine Arts	1.29	1.78
13-1199.06	knowledge	History and Archeology	0.36	1.15
13-1199.06	knowledge	Philosophy and Theology	0.34	1.10
13-1199.06	knowledge	Public Safety and Security	1.25	1.89
